SOVEREIGN1;nb_mpa;nb_mpa_w_cr;mpa_area_km2
Australia;1415;144;3,34575840644834e+06 [km^2]
Bahamas;53;42;5,11371568628640e+04 [km^2]
Belize;30;25;4,15404582937240e+03 [km^2]
Cuba;62;43;2,86738004379877e+04 [km^2]
Egypt;8;7;4,11741517935826e+04 [km^2]
Fiji;111;107;1,23462725112881e+04 [km^2]
France;629;91;3,28081300968263e+06 [km^2]
India;16;9;3,04903930944703e+03 [km^2]
Indonesia;211;154;2,21358463677128e+05 [km^2]
Japan;440;24;1,11475624562822e+05 [km^2]
Kiribati;2;2;3,97601040020549e+05 [km^2]
Madagascar;61;44;2,79311150745018e+04 [km^2]
Malaysia;105;60;1,87734541795059e+04 [km^2]
Maldives;68;57;6,25264289372768e+02 [km^2]
Marshall Islands;12;11;7,24715676719013e+03 [km^2]
Mexico;60;22;7,27841974304283e+05 [km^2]
Micronesia;6;6;1,80871029205128e+05 [km^2]
Mozambique;17;8;2,40895579436896e+04 [km^2]
Papua New Guinea;34;18;4,63391634023814e+03 [km^2]
Philippines;343;137;3,92685725671821e+04 [km^2]
Saudi Arabia;7;7;1,54902240048413e+04 [km^2]
Seychelles;44;22;2,42306998481065e+05 [km^2]
Solomon Islands;50;27;1,28925397573614e+03 [km^2]
Sudan;1;1;2,58154093263342e+03 [km^2]
Tanzania;133;57;5,11201620941477e+03 [km^2]
Tonga;34;25;3,82116096172279e+02 [km^2]
United Kingdom;1752;97;3,93730850673213e+06 [km^2]
United States;997;99;3,37704966346276e+06 [km^2]
Vanuatu;6;5;4,42292290811836e+01 [km^2]
